item_name,order_count,quantity_sold,revenue_usd
Google Zip Hoodie F/C,187,208,10488.0
Google Crewneck Sweatshirt Navy,196,217,9878.0
Google Badge Heavyweight Pullover Black,149,175,8444.0
Google Men's Tech Fleece Grey,87,107,7886.0
Super G Unisex Joggers,220,252,7826.0
Google Crewneck Sweatshirt Green,146,155,7095.0
Google Men's Tech Fleece Vest Charcoal,62,79,5234.0
Google Men's Puff Jacket Black,52,55,5221.0
Google Sherpa Zip Hoodie Charcoal,78,89,4953.0
Google Canteen Bottle Black,128,248,4892.0
